scenario,reverse_type,target_product,threshold,threshold_unit,boundary_result_bn,base_result_bn,status,marginal_result_change_bn_per_1pp_share
Base,portfolio_credit_cost_multiplier,ALL,0.6956679858465691,x,0.0,-19.797671370713196,THRESHOLD_BELOW_CURRENT_1X,
Base,product_break_even_credit_cost,Consumer,0.06599999999999999,annual_rate,0.0,-19.797671370713196,FEASIBLE,
Base,marginal_break_even_credit_cost_vs_mortgage,Consumer,0.0918019341554265,annual_rate,0.0,-19.797671370713196,FEASIBLE,
Base,critical_product_share_vs_mortgage,Consumer,0.2321466605811654,share,0.0,-19.797671370713196,ALREADY_AT_OR_BELOW_BOUNDARY,1.6198390398566764
Base,product_break_even_credit_cost,Auto,0.05600000000000001,annual_rate,0.0,-19.797671370713196,FEASIBLE,
Base,marginal_break_even_credit_cost_vs_mortgage,Auto,0.08180193415542653,annual_rate,0.0,-19.797671370713196,FEASIBLE,
Base,critical_product_share_vs_mortgage,Auto,0.08274760383386581,share,0.0,-19.797671370713196,ALREADY_AT_OR_BELOW_BOUNDARY,1.2602836838888147
Base,product_break_even_credit_cost,Cards,0.182,annual_rate,0.0,-19.797671370713196,FEASIBLE,
Base,marginal_break_even_credit_cost_vs_mortgage,Cards,0.2078019341554265,annual_rate,0.0,-19.797671370713196,FEASIBLE,
Base,critical_product_share_vs_mortgage,Cards,0.033987524722349005,share,0.0,-19.797671370713196,ALREADY_AT_OR_BELOW_BOUNDARY,4.992366314483051
Combined,portfolio_credit_cost_multiplier,ALL,-0.2000282236259356,x,0.0,-112.34582646468601,NO_NONNEGATIVE_SOLUTION,
Combined,product_break_even_credit_cost,Consumer,0.034778232045015595,annual_rate,0.0,-112.34582646468601,FEASIBLE,
Combined,marginal_break_even_credit_cost_vs_mortgage,Consumer,0.08430261773421431,annual_rate,0.0,-112.34582646468601,FEASIBLE,
Combined,critical_product_share_vs_mortgage,Consumer,0.2721466605811654,share,0.0,-112.34582646468601,ALREADY_AT_OR_BELOW_BOUNDARY,1.0093897935167429
Combined,product_break_even_credit_cost,Auto,0.0258588293166353,annual_rate,0.0,-112.34582646468601,FEASIBLE,
Combined,marginal_break_even_credit_cost_vs_mortgage,Auto,0.07538321500583402,annual_rate,0.0,-112.34582646468601,FEASIBLE,
Combined,critical_product_share_vs_mortgage,Auto,0.10274760383386582,share,0.0,-112.34582646468601,ALREADY_AT_OR_BELOW_BOUNDARY,0.3956183626245726
Combined,product_break_even_credit_cost,Cards,0.144680677564042,annual_rate,0.0,-112.34582646468601,FEASIBLE,
